hubnet-kick-all-clients,dictionary,dict/hubnet-kick-all-clients,dictionary-hubnet-kick-all-clients
hubnet-message,dictionary,dict/hubnet-message,dictionary-hubnet-message
hubnet-message-source,dictionary,dict/hubnet-message-source,dictionary-hubnet-message-source
hubnet-message-tag,dictionary,dict/hubnet-message-tag,dictionary-hubnet-message-tag
hubnet-message-waiting?,dictionary,dict/hubnet-message-waiting,dictionary-hubnet-message-waiting
hubnet-reset,dictionary,dict/hubnet-reset,dictionary-hubnet-reset
hubnet-reset-perspective,dictionary,dict/hubnet-reset-perspective,dictionary-hubnet-reset-perspective
hubnet-send,dictionary,dict/hubnet-send,dictionary-hubnet-send
hubnet-send-clear-output,dictionary,dict/hubnet-send-clear-output,dictionary-hubnet-send-clear-output
hubnet-send-follow,dictionary,dict/hubnet-send-follow,dictionary-hubnet-send-follow
hubnet-send-message,dictionary,dict/hubnet-send-message,dictionary-hubnet-send-message
hubnet-send-override,dictionary,dict/hubnet-send-override,dictionary-hubnet-send-override
hubnet-send-watch,dictionary,dict/hubnet-send-watch,dictionary-hubnet-send-watch
if,dictionary,dict/if,dictionary-if
ifelse,dictionary,dict/ifelse,dictionary-ifelse
ifelse-value,dictionary,dict/ifelse-value,dictionary-ifelse-value
import-drawing,dictionary,dict/import-drawing,dictionary-import-drawing
import-pcolors,dictionary,dict/import-pcolors,dictionary-import-pcolors
import-pcolors-rgb,dictionary,dict/import-pcolors-rgb,dictionary-import-pcolors-rgb
import-world,dictionary,dict/import-world,dictionary-import-world
in-cone,dictionary,dict/in-cone,dictionary-in-cone
in-<breed>-neighbor?,dictionary,dict/in-link-neighbor,dictionary-in-link-neighbor
in-link-neighbor?,dictionary,dict/in-link-neighbor,dictionary-in-link-neighbor
in-<breed>-neighbors,dictionary,dict/in-link-neighbors,dictionary-in-link-neighbors
in-link-neighbors,dictionary,dict/in-link-neighbors,dictionary-in-link-neighbors
in-<breed>-from,dictionary,dict/in-link-from,dictionary-in-link-from
in-link-from,dictionary,dict/in-link-from,dictionary-in-link-from
__includes,dictionary,dict/includes,dictionary-includes
in-radius,dictionary,dict/in-radius,dictionary-in-radius
insert-item,dictionary,dict/insert-item,dictionary-insert-item
inspect,dictionary,dict/inspect,dictionary-inspect
int,dictionary,dict/int,dictionary-int
is-agent?,dictionary,dict/is-of-type,dictionary-is-of-type
is-agentset?,dictionary,dict/is-of-type,dictionary-is-of-type
is-anonymous-command?,dictionary,dict/is-of-type,dictionary-is-of-type
is-anonymous-reporter?,dictionary,dict/is-of-type,dictionary-is-of-type
is-boolean?,dictionary,dict/is-of-type,dictionary-is-of-type
is-directed-link?,dictionary,dict/is-of-type,dictionary-is-of-type
is-link?,dictionary,dict/is-of-type,dictionary-is-of-type
is-link-set?,dictionary,dict/is-of-type,dictionary-is-of-type
is-list?,dictionary,dict/is-of-type,dictionary-is-of-type
is-number?,dictionary,dict/is-of-type,dictionary-is-of-type
is-patch?,dictionary,dict/is-of-type,dictionary-is-of-type
is-patch-set?,dictionary,dict/is-of-type,dictionary-is-of-type
is-string?,dictionary,dict/is-of-type,dictionary-is-of-type
is-turtle?,dictionary,dict/is-of-type,dictionary-is-of-type
is-turtle-set?,dictionary,dict/is-of-type,dictionary-is-of-type
is-undirected-link?,dictionary,dict/is-of-type,dictionary-is-of-type
item,dictionary,dict/item,dictionary-item
jump,dictionary,dict/jump,dictionary-jump
label,dictionary,dict/label,dictionary-label
label-color,dictionary,dict/label-color,dictionary-label-color
last,dictionary,dict/last,dictionary-last
layout-circle,dictionary,dict/layout-circle,dictionary-layout-circle
layout-radial,dictionary,dict/layout-radial,dictionary-layout-radial
layout-spring,dictionary,dict/layout-spring,dictionary-layout-spring
layout-tutte,dictionary,dict/layout-tutte,dictionary-layout-tutte
left,dictionary,dict/left,dictionary-left
lt,dictionary,dict/left,dictionary-left
length,dictionary,dict/length,dictionary-length
let,dictionary,dict/let,dictionary-let
link,dictionary,dict/link,dictionary-link
link-heading,dictionary,dict/link-heading,dictionary-link-heading
link-length,dictionary,dict/link-length,dictionary-link-length
link-set,dictionary,dict/link-set,dictionary-link-set
link-shapes,dictionary,dict/link-shapes,dictionary-link-shapes
links,dictionary,dict/links,dictionary-links
links-own,dictionary,dict/links-own,dictionary-links-own
list,dictionary,dict/list,dictionary-list
ln,dictionary,dict/ln,dictionary-ln
log,dictionary,dict/log,dictionary-log
loop,dictionary,dict/loop,dictionary-loop
lput,dictionary,dict/lput,dictionary-lput
map,dictionary,dict/map,dictionary-map
max,dictionary,dict/max,dictionary-max
max-n-of,dictionary,dict/max-n-of,dictionary-max-n-of
max-one-of,dictionary,dict/max-one-of,dictionary-max-one-of
max-pxcor,dictionary,dict/max-pcor,dictionary-max-pcor
max-pycor,dictionary,dict/max-pcor,dictionary-max-pcor
mean,dictionary,dict/mean,dictionary-mean
median,dictionary,dict/median,dictionary-median
member?,dictionary,dict/member,dictionary-member
min,dictionary,dict/min,dictionary-min
min-n-of,dictionary,dict/min-n-of,dictionary-min-n-of
min-one-of,dictionary,dict/min-one-of,dictionary-min-one-of
min-pxcor,dictionary,dict/min-pcor,dictionary-min-pcor
min-pycor,dictionary,dict/min-pcor,dictionary-min-pcor
mod,dictionary,dict/mod,dictionary-mod
modes,dictionary,dict/modes,dictionary-modes
mouse-down?,dictionary,dict/mouse-down,dictionary-mouse-down
mouse-inside?,dictionary,dict/mouse-inside,dictionary-mouse-inside
mouse-xcor,dictionary,dict/mouse-cor,dictionary-mouse-cor
mouse-ycor,dictionary,dict/mouse-cor,dictionary-mouse-cor
move-to,dictionary,dict/move-to,dictionary-move-to
my-<breeds>,dictionary,dict/my-links,dictionary-my-links
my-links,dictionary,dict/my-links,dictionary-my-links
my-in-<breeds>,dictionary,dict/my-in-links,dictionary-my-in-links
my-in-links,dictionary,dict/my-in-links,dictionary-my-in-links
my-out-<breeds>,dictionary,dict/my-out-links,dictionary-my-out-links
my-out-links,dictionary,dict/my-out-links,dictionary-my-out-links
myself,dictionary,dict/myself,dictionary-myself
n-of,dictionary,dict/n-of,dictionary-n-of
n-values,dictionary,dict/n-values,dictionary-n-values
neighbors,dictionary,dict/neighbors,dictionary-neighbors
neighbors4,dictionary,dict/neighbors,dictionary-neighbors
<breed>-neighbors,dictionary,dict/link-neighbors,dictionary-link-neighbors
link-neighbors,dictionary,dict/link-neighbors,dictionary-link-neighbors
<breed>-neighbor?,dictionary,dict/link-neighbor,dictionary-link-neighbor
